run_id,agent,seed,temperature,tau,sigma,episodes,recall,precision,detections_per_joule,false_alarms,coverage,time_to_first_detection,ece,signed_calibration_error,accuracy,pool_split
lawnmower__s3__T2__tau0.6__sig1.5,lawnmower,3,2.0,0.6,1.5,20,0.3503087278183824,0.34153800497943626,0.09359335839598928,112.9,0.390625,6.7,,,,shift
lawnmower__s4__T2__tau0.6__sig1.5,lawnmower,4,2.0,0.6,1.5,20,0.32399596905808203,0.3223661216685366,0.08615288220551313,112.2,0.390625,9.85,,,,shift
lawnmower__s0__T3__tau0.6__sig1.5,lawnmower,0,3.0,0.6,1.5,20,0.34721747215030624,0.3807994836981591,0.09790100250626495,98.95,0.390625,10.25,,,,shift
lawnmower__s1__T3__tau0.6__sig1.5,lawnmower,1,3.0,0.6,1.5,20,0.31985536607699194,0.3411244756378521,0.08356829573934774,99.95,0.390625,10.4,,,,shift
lawnmower__s2__T3__tau0.6__sig1.5,lawnmower,2,3.0,0.6,1.5,20,0.35944211350921657,0.3774630913728831,0.0964129072681697,98.95,0.390625,9.3,,,,shift
lawnmower__s3__T3__tau0.6__sig1.5,lawnmower,3,3.0,0.6,1.5,20,0.34162475625794164,0.35894218067359956,0.09132205513784393,101.7,0.390625,7.15,,,,shift
lawnmower__s4__T3__tau0.6__sig1.5,lawnmower,4,3.0,0.6,1.5,20,0.31565764907669003,0.3428556808115962,0.08388157894736778,99.3,0.390625,9.85,,,,shift
lawnmower__s0__T4__tau0.6__sig1.5,lawnmower,0,4.0,0.6,1.5,20,0.3403094756777872,0.3949838379405516,0.09602130325814465,91.1,0.390625,10.25,,,,shift
lawnmower__s1__T4__tau0.6__sig1.5,lawnmower,1,4.0,0.6,1.5,20,0.314614699564282,0.3567388173727464,0.08215852130325753,91.55,0.390625,10.4,,,,shift
lawnmower__s2__T4__tau0.6__sig1.5,lawnmower,2,4.0,0.6,1.5,20,0.35081170060020234,0.38812449982586916,0.09406328320801936,92.2,0.390625,9.35,,,,shift
lawnmower__s3__T4__tau0.6__sig1.5,lawnmower,3,4.0,0.6,1.5,20,0.33487687510992337,0.37350244102445795,0.08952067669172865,93.35,0.390625,7.15,,,,shift
lawnmower__s4__T4__tau0.6__sig1.5,lawnmower,4,4.0,0.6,1.5,20,0.310030782897892,0.35657083529068134,0.08231516290726755,91.75,0.390625,9.9,,,,shift
